,avg_width,avg_width,avg_width,avg_width,avg_width,avg_width,bias,bias,bias,bias,bias,bias,coverage,coverage,coverage,coverage,coverage,coverage,rmse,rmse,rmse,rmse,rmse,rmse
dgp,DGP1_nonlinearity,DGP1_nonlinearity,DGP1_nonlinearity,DGP3_heteroscedasticity,DGP3_heteroscedasticity,DGP3_heteroscedasticity,DGP1_nonlinearity,DGP1_nonlinearity,DGP1_nonlinearity,DGP3_heteroscedasticity,DGP3_heteroscedasticity,DGP3_heteroscedasticity,DGP1_nonlinearity,DGP1_nonlinearity,DGP1_nonlinearity,DGP3_heteroscedasticity,DGP3_heteroscedasticity,DGP3_heteroscedasticity,DGP1_nonlinearity,DGP1_nonlinearity,DGP1_nonlinearity,DGP3_heteroscedasticity,DGP3_heteroscedasticity,DGP3_heteroscedasticity
delta,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0
method,,,,,,,,,,,,,,,,,,,,,,,,
AMRI,0.1774849744554399,0.3395189819334213,0.5976541237403682,0.1774849744554399,0.2141109078213959,0.3319138107591175,-0.0022126722099826,-0.0035523888086136,-0.0048921054072446,-0.0022126722099826,-0.0020930004863501,-0.0020144096011483,0.962,0.948,0.938,0.962,0.948,0.952,0.0420641461256005,0.0852487265692768,0.1521662373308822,0.0420641461256005,0.0510215965607863,0.0775726281635908
Bayesian_Normal,0.1765258003684002,0.2149645404301157,0.3022436315259932,0.1765258003684002,0.1879509767852491,0.2263650942353358,-0.0022327470096065,-0.003572444272557,-0.0049121415355076,-0.0022327470096065,-0.0021130785858003,-0.0020344912229445,0.962,0.802,0.686,0.962,0.932,0.866,0.0420642967018637,0.085248079465268,0.1521643790795584,0.0420642967018637,0.0510213253741321,0.0775715171630193
Naive_OLS,0.1765275826816479,0.214966708197969,0.3022466756665186,0.1765275826816479,0.18795287393963,0.2263673774346754,-0.0022126722099826,-0.0035523888086136,-0.0048921054072446,-0.0022126722099826,-0.0020930004863501,-0.0020144096011483,0.962,0.802,0.686,0.962,0.932,0.866,0.0420641461256005,0.0852487265692768,0.1521662373308822,0.0420641461256005,0.0510215965607863,0.0775726281635908
Pairs_Bootstrap,0.1753353292508931,0.3169962578712466,0.5551559905554472,0.1753353292508931,0.2072627989896363,0.3101884932992557,-0.0022126722099826,-0.0035523888086136,-0.0048921054072446,-0.0022126722099826,-0.0020930004863501,-0.0020144096011483,0.956,0.94,0.92,0.956,0.942,0.938,0.0420641461256005,0.0852487265692768,0.1521662373308822,0.0420641461256005,0.0510215965607863,0.0775726281635908
Sandwich_HC3,0.1768642929904327,0.3225655550788583,0.5678110633804996,0.1768642929904327,0.2097729005948122,0.3153905338937496,-0.0022126722099826,-0.0035523888086136,-0.0048921054072446,-0.0022126722099826,-0.0020930004863501,-0.0020144096011483,0.964,0.942,0.924,0.964,0.95,0.942,0.0420641461256005,0.0852487265692768,0.1521662373308822,0.0420641461256005,0.0510215965607863,0.0775726281635908
