n,max_deficit,worst_delta,theoretical_bound,mc_se,deficit_normalized
100,0.022499999999999964,1.0344827586206897,0.1,0.004873397172404482,0.22499999999999964
500,0.011499999999999955,0.13793103448275862,0.044721359549995794,0.004873397172404482,0.25714781741247483
2000,0.008499999999999952,0.6896551724137931,0.022360679774997897,0.004873397172404482,0.38013155617496214
