n,method,max_jump,mean_jump,lipschitz_est
100,AMRI_v2,0.01533333333333331,0.004170068027210887,0.5008888888888882
100,AMRI_v1,0.01766666666666661,0.00438775510204082,0.5771111111111092
500,AMRI_v2,0.013333333333333308,0.004285714285714271,0.43555555555555475
500,AMRI_v1,0.012666666666666715,0.004115646258503417,0.41377777777777935
2000,AMRI_v2,0.01100000000000001,0.004571428571428568,0.35933333333333367
2000,AMRI_v1,0.010000000000000009,0.004265306122448983,0.32666666666666694
5000,AMRI_v2,0.013333333333333308,0.004544217687074841,0.43555555555555475
5000,AMRI_v1,0.014000000000000012,0.004000000000000006,0.45733333333333376
