n,tau,mean,skew,kurtosis,ks_stat,ks_p,p95_abslogR,p99_abslogR,p95_scaled,p99_scaled,valid_pct
50,1.0032006093215697,0.14732359765361533,0.08253546222769341,0.37874867361217746,0.018560664876408395,0.0020101059469479236,0.2838358958428387,0.3866449046348764,2.0070228669462984,2.7339923397854706,100.0
100,0.999886974493622,0.10747306316230955,0.11853877480082183,0.2860774125971193,0.00971453806717748,0.2999367592038321,0.19838213389513257,0.27092137097365376,1.9838213389513257,2.7092137097365376,100.0
250,1.001210435703055,0.06274319034303223,0.09567912708060207,0.16866254907986677,0.008691753694035964,0.43422849207233205,0.1243812712648428,0.1674742673968318,1.9666405773207778,2.6480006722103338,100.0
500,0.9961203113901005,0.0491416899570667,0.07854635067887702,0.12905780830893043,0.00813827899963529,0.519160414093502,0.0877391726091618,0.11686474512287019,1.9619075424367336,2.6131751426792476,100.0
1000,1.0006789282231414,0.03285532253366666,0.06280898190089626,0.03252271474232016,0.010129194039487865,0.2546927029194276,0.06234413111020433,0.08215782943416369,1.971494530524076,2.5980586862757997,100.0
5000,0.9962489122213031,0.015591227618180784,0.018845096332532268,-0.039288157548743374,0.007168587621094194,0.6802291240813418,0.027686344583010277,0.036383164763371,1.9577202000914005,2.5726782525207086,100.0
