n,mean_width_ratio,median_width_ratio,max_width_ratio,overhead_pct,p_w_positive,mean_weight,valid_reps
50,1.0174037168910819,1.0,2.1773553235459664,1.7403716891081888,0.31266666666666665,0.1448503059710223,3000
100,1.010105275147733,1.0,1.5128560409333498,1.0105275147733073,0.3253333333333333,0.15346436438141456,3000
250,1.0024559076104038,1.0,1.2769591290695983,0.2455907610403818,0.313,0.15247619189315298,3000
500,1.001885532500028,1.0,1.1904989207924794,0.18855325000279866,0.30866666666666664,0.14631298280358845,3000
1000,1.0009617236703419,1.0,1.128400291747678,0.0961723670341863,0.30733333333333335,0.14975458889847426,3000
5000,1.0002251546284546,1.0,1.0443089475371086,0.022515462845462686,0.308,0.1428089195109282,3000
