dgp,delta,n,method,coverage,coverage_accuracy,avg_width,median_width,valid_reps
Heteroscedastic,0.5,100,AKS_Adaptive,0.9405,0.009499999999999953,0.4449,0.4449,2000
Heteroscedastic,0.5,100,AMRI_v1,0.948,0.0020000000000000018,0.4722,0.4722,2000
Heteroscedastic,0.5,100,AMRI_v2,0.948,0.0020000000000000018,0.4678,0.4678,2000
Heteroscedastic,0.5,500,Naive_OLS,0.924,0.025999999999999912,0.1874,0.1874,2000
Heteroscedastic,0.5,500,Sandwich_HC3,0.9475,0.0024999999999999467,0.2091,0.2091,2000
Heteroscedastic,0.5,500,Sandwich_HC4,0.9515,0.0015000000000000568,0.2131,0.2131,2000
Heteroscedastic,0.5,500,Sandwich_HC5,0.948,0.0020000000000000018,0.2105,0.2105,2000
Heteroscedastic,0.5,500,Pairs_Bootstrap,0.938,0.01200000000000001,0.2044,0.2044,500
Heteroscedastic,0.5,500,Wild_Bootstrap,0.934,0.015999999999999903,0.2025,0.2025,500
Heteroscedastic,0.5,500,Bootstrap_t,0.938,0.01200000000000001,0.2073,0.2073,500
Heteroscedastic,0.5,500,AKS_Adaptive,0.936,0.013999999999999901,0.1976,0.1976,2000
Heteroscedastic,0.5,500,AMRI_v1,0.951,0.0010000000000000009,0.2132,0.2132,2000
Heteroscedastic,0.5,500,AMRI_v2,0.9465,0.0034999999999999476,0.2079,0.2079,2000
Heteroscedastic,0.5,2000,Naive_OLS,0.9195,0.03049999999999997,0.0934,0.0934,2000
Heteroscedastic,0.5,2000,Sandwich_HC3,0.949,0.0010000000000000009,0.1044,0.1044,2000
Heteroscedastic,0.5,2000,Sandwich_HC4,0.9495,0.0004999999999999449,0.1049,0.1049,2000
Heteroscedastic,0.5,2000,Sandwich_HC5,0.949,0.0010000000000000009,0.1046,0.1046,2000
Heteroscedastic,0.5,2000,Pairs_Bootstrap,0.94,0.010000000000000009,0.1024,0.1024,500
Heteroscedastic,0.5,2000,Wild_Bootstrap,0.946,0.0040000000000000036,0.1025,0.1025,500
Heteroscedastic,0.5,2000,Bootstrap_t,0.942,0.008000000000000007,0.1028,0.1028,500
Heteroscedastic,0.5,2000,AKS_Adaptive,0.9405,0.009499999999999953,0.1006,0.1006,2000
Heteroscedastic,0.5,2000,AMRI_v1,0.959,0.009000000000000008,0.1094,0.1094,2000
Heteroscedastic,0.5,2000,AMRI_v2,0.949,0.0010000000000000009,0.1044,0.1044,2000
Heteroscedastic,0.75,100,Naive_OLS,0.898,0.051999999999999935,0.4586,0.4586,2000
Heteroscedastic,0.75,100,Sandwich_HC3,0.9485,0.0014999999999999458,0.5596,0.5596,2000
Heteroscedastic,0.75,100,Sandwich_HC4,0.968,0.018000000000000016,0.6283,0.6283,2000
Heteroscedastic,0.75,100,Sandwich_HC5,0.9535,0.0035000000000000586,0.5818,0.5818,2000
Heteroscedastic,0.75,100,Pairs_Bootstrap,0.942,0.008000000000000007,0.523,0.523,500
Heteroscedastic,0.75,100,Wild_Bootstrap,0.924,0.025999999999999912,0.5064,0.5064,500
Heteroscedastic,0.75,100,Bootstrap_t,0.94,0.010000000000000009,0.5899,0.5899,500
Heteroscedastic,0.75,100,AKS_Adaptive,0.928,0.02199999999999991,0.5171,0.5171,2000
Heteroscedastic,0.75,100,AMRI_v1,0.9425,0.007499999999999951,0.5643,0.5643,2000
Heteroscedastic,0.75,100,AMRI_v2,0.9455,0.0044999999999999485,0.5552,0.5552,2000
Heteroscedastic,0.75,500,Naive_OLS,0.883,0.06699999999999995,0.2025,0.2025,2000
Heteroscedastic,0.75,500,Sandwich_HC3,0.9515,0.0015000000000000568,0.2515,0.2515,2000
Heteroscedastic,0.75,500,Sandwich_HC4,0.954,0.0040000000000000036,0.2574,0.2574,2000
Heteroscedastic,0.75,500,Sandwich_HC5,0.9525,0.0025000000000000577,0.2536,0.2536,2000
Heteroscedastic,0.75,500,Pairs_Bootstrap,0.952,0.0020000000000000018,0.2456,0.2456,500
Heteroscedastic,0.75,500,Wild_Bootstrap,0.934,0.015999999999999903,0.2425,0.2425,500
Heteroscedastic,0.75,500,Bootstrap_t,0.934,0.015999999999999903,0.2512,0.2512,500
Heteroscedastic,0.75,500,AKS_Adaptive,0.9365,0.013499999999999956,0.2385,0.2385,2000
Heteroscedastic,0.75,500,AMRI_v1,0.959,0.009000000000000008,0.2634,0.2634,2000
Heteroscedastic,0.75,500,AMRI_v2,0.952,0.0020000000000000018,0.2518,0.2518,2000
Heteroscedastic,0.75,2000,Naive_OLS,0.895,0.05499999999999994,0.101,0.101,2000
Heteroscedastic,0.75,2000,Sandwich_HC3,0.9465,0.0034999999999999476,0.126,0.126,2000
Heteroscedastic,0.75,2000,Sandwich_HC4,0.948,0.0020000000000000018,0.1268,0.1268,2000
Heteroscedastic,0.75,2000,Sandwich_HC5,0.9465,0.0034999999999999476,0.1263,0.1263,2000
Heteroscedastic,0.75,2000,Pairs_Bootstrap,0.938,0.01200000000000001,0.1239,0.1239,500
Heteroscedastic,0.75,2000,Wild_Bootstrap,0.942,0.008000000000000007,0.1234,0.1234,500
Heteroscedastic,0.75,2000,Bootstrap_t,0.94,0.010000000000000009,0.1244,0.1244,500
Heteroscedastic,0.75,2000,AKS_Adaptive,0.943,0.007000000000000006,0.1228,0.1228,2000
Heteroscedastic,0.75,2000,AMRI_v1,0.9555,0.00550000000000006,0.1324,0.1324,2000
Heteroscedastic,0.75,2000,AMRI_v2,0.9465,0.0034999999999999476,0.1261,0.1261,2000
Heteroscedastic,1.0,100,Naive_OLS,0.855,0.09499999999999997,0.5086,0.5086,2000
Heteroscedastic,1.0,100,Sandwich_HC3,0.9485,0.0014999999999999458,0.6908,0.6908,2000
Heteroscedastic,1.0,100,Sandwich_HC4,0.9685,0.018500000000000072,0.7893,0.7893,2000
Heteroscedastic,1.0,100,Sandwich_HC5,0.9545,0.0045000000000000595,0.7239,0.7239,2000
Heteroscedastic,1.0,100,Pairs_Bootstrap,0.932,0.017999999999999905,0.6378,0.6378,500
Heteroscedastic,1.0,100,Wild_Bootstrap,0.916,0.03399999999999992,0.6157,0.6157,500
Heteroscedastic,1.0,100,Bootstrap_t,0.936,0.013999999999999901,0.7542,0.7542,500
Heteroscedastic,1.0,100,AKS_Adaptive,0.9245,0.025499999999999967,0.6371,0.6371,2000
Heteroscedastic,1.0,100,AMRI_v1,0.9495,0.0004999999999999449,0.7125,0.7125,2000
Heteroscedastic,1.0,100,AMRI_v2,0.9465,0.0034999999999999476,0.6906,0.6906,2000
Heteroscedastic,1.0,500,Naive_OLS,0.8385,0.11149999999999993,0.2256,0.2256,2000
Heteroscedastic,1.0,500,Sandwich_HC3,0.9475,0.0024999999999999467,0.3151,0.3151,2000
Heteroscedastic,1.0,500,Sandwich_HC4,0.956,0.006000000000000005,0.3238,0.3238,2000
Heteroscedastic,1.0,500,Sandwich_HC5,0.949,0.0010000000000000009,0.3183,0.3183,2000
Heteroscedastic,1.0,500,Pairs_Bootstrap,0.95,0.0,0.3071,0.3071,500
Heteroscedastic,1.0,500,Wild_Bootstrap,0.938,0.01200000000000001,0.3028,0.3028,500
Heteroscedastic,1.0,500,Bootstrap_t,0.938,0.01200000000000001,0.3182,0.3182,500
Heteroscedastic,1.0,500,AKS_Adaptive,0.9385,0.011499999999999955,0.3026,0.3026,2000
