n,tv_distance,width_gap,lower_bound,amri_regret,efficiency_ratio
100,0.6840000000000003,0.35888804948269903,0.0283521559091332,0.03735436203540475,0.759005223600414
500,0.9780000000000016,0.4123226882214686,0.002267774785217908,0.008270648825335887,0.2741955115142746
2000,0.9999999999999993,0.40468429401534717,6.739347313800223e-17,0.0026684480644192585,2.5255681021721234e-14
