dgp,delta,n,method,B_total,B_valid,coverage,coverage_mc_se,avg_width,median_width,bias,rmse,se_mean,theta_true
DGP1_nonlinearity,0.0,5000,Bayesian,2000,2000,0.937,0.005433,0.05548,0.05548,-0.000136,0.014584,0.01415,1.0
DGP1_nonlinearity,0.0,5000,AMRI,2000,2000,0.9385,0.005372,0.055632,0.055525,-0.000136,0.014584,0.014189,1.0
DGP1_nonlinearity,0.0,5000,Pairs_Bootstrap,2000,2000,0.9355,0.005493,0.055212,0.055194,-0.000136,0.014584,0.014134,1.0
DGP1_nonlinearity,0.0,5000,Wild_Bootstrap,2000,2000,0.9395,0.005331,0.05515,0.055098,-0.000136,0.014584,0.014133,1.0
DGP1_nonlinearity,0.0,5000,Bootstrap_t,2000,2000,0.9375,0.005413,0.055251,0.055203,-0.000136,0.014584,0.014159,1.0
DGP1_nonlinearity,0.25,50,Naive_OLS,2000,2000,0.902,0.006648,0.609299,0.60344,-0.00171,0.185129,0.151519,1.0
DGP1_nonlinearity,0.25,50,Sandwich_HC0,2000,2000,0.9135,0.006286,0.663685,0.646872,-0.00171,0.185129,0.165044,1.0
DGP1_nonlinearity,0.25,50,Sandwich_HC3,2000,2000,0.934,0.005552,0.736873,0.710705,-0.00171,0.185129,0.183244,1.0
DGP1_nonlinearity,0.25,50,Bayesian,2000,2000,0.902,0.006648,0.609299,0.60344,-0.00171,0.185129,0.151519,1.0
DGP1_nonlinearity,0.25,50,AMRI,2000,2000,0.9225,0.005979,0.712703,0.643049,-0.00171,0.185129,0.177233,1.0
DGP1_nonlinearity,0.25,50,Pairs_Bootstrap,2000,2000,0.921,0.006032,0.664079,0.653049,-0.00171,0.185129,0.170261,1.0
DGP1_nonlinearity,0.25,50,Wild_Bootstrap,2000,2000,0.8955,0.00684,0.626892,0.616655,-0.00171,0.185129,0.164858,1.0
DGP1_nonlinearity,0.25,50,Bootstrap_t,2000,2000,0.9325,0.00561,0.793402,0.740028,-0.00171,0.185129,0.183244,1.0
DGP1_nonlinearity,0.25,100,Naive_OLS,2000,2000,0.903,0.006618,0.422879,0.421263,-0.00095,0.126435,0.106547,1.0
DGP1_nonlinearity,0.25,100,Sandwich_HC0,2000,2000,0.9305,0.005686,0.48195,0.474215,-0.00095,0.126435,0.121431,1.0
DGP1_nonlinearity,0.25,100,Sandwich_HC3,2000,2000,0.9445,0.00512,0.508801,0.497765,-0.00095,0.126435,0.128196,1.0
DGP1_nonlinearity,0.25,100,Bayesian,2000,2000,0.903,0.006618,0.422879,0.421263,-0.00095,0.126435,0.106547,1.0
DGP1_nonlinearity,0.25,100,AMRI,2000,2000,0.9365,0.005453,0.501824,0.464866,-0.00095,0.126435,0.126438,1.0
DGP1_nonlinearity,0.25,100,Pairs_Bootstrap,2000,2000,0.9345,0.005532,0.478817,0.471596,-0.00095,0.126435,0.122739,1.0
DGP1_nonlinearity,0.25,100,Wild_Bootstrap,2000,2000,0.9215,0.006014,0.466684,0.46054,-0.00095,0.126435,0.121344,1.0
DGP1_nonlinearity,0.25,100,Bootstrap_t,2000,2000,0.9435,0.005163,0.528683,0.507771,-0.00095,0.126435,0.128196,1.0
DGP1_nonlinearity,0.25,250,Naive_OLS,2000,2000,0.9025,0.006633,0.264785,0.264751,-0.001926,0.080824,0.067219,1.0
DGP1_nonlinearity,0.25,250,Sandwich_HC0,2000,2000,0.942,0.005227,0.311779,0.307732,-0.001926,0.080824,0.079149,1.0
DGP1_nonlinearity,0.25,250,Sandwich_HC3,2000,2000,0.949,0.004919,0.318888,0.314261,-0.001926,0.080824,0.080953,1.0
DGP1_nonlinearity,0.25,250,Bayesian,2000,2000,0.9025,0.006633,0.264785,0.264751,-0.001926,0.080824,0.067219,1.0
DGP1_nonlinearity,0.25,250,AMRI,2000,2000,0.9465,0.005032,0.3256,0.327407,-0.001926,0.080824,0.082657,1.0
DGP1_nonlinearity,0.25,250,Pairs_Bootstrap,2000,2000,0.9415,0.005248,0.309513,0.305608,-0.001926,0.080824,0.079299,1.0
DGP1_nonlinearity,0.25,250,Wild_Bootstrap,2000,2000,0.937,0.005433,0.306548,0.303082,-0.001926,0.080824,0.079095,1.0
DGP1_nonlinearity,0.25,250,Bootstrap_t,2000,2000,0.945,0.005098,0.323356,0.317085,-0.001926,0.080824,0.080953,1.0
DGP1_nonlinearity,0.25,500,Naive_OLS,2000,2000,0.9135,0.006286,0.186541,0.186204,-0.00081,0.056287,0.047472,1.0
DGP1_nonlinearity,0.25,500,Sandwich_HC0,2000,2000,0.955,0.004635,0.221393,0.21958,-0.00081,0.056287,0.056342,1.0
DGP1_nonlinearity,0.25,500,Sandwich_HC3,2000,2000,0.9575,0.004511,0.223934,0.221869,-0.00081,0.056287,0.056988,1.0
DGP1_nonlinearity,0.25,500,Bayesian,2000,2000,0.9135,0.006286,0.186541,0.186204,-0.00081,0.056287,0.047472,1.0
DGP1_nonlinearity,0.25,500,AMRI,2000,2000,0.9665,0.004024,0.233313,0.232959,-0.00081,0.056287,0.059375,1.0
DGP1_nonlinearity,0.25,500,Pairs_Bootstrap,2000,2000,0.9535,0.004708,0.220082,0.218793,-0.00081,0.056287,0.056328,1.0
DGP1_nonlinearity,0.25,500,Wild_Bootstrap,2000,2000,0.9525,0.004756,0.218926,0.218306,-0.00081,0.056287,0.056269,1.0
DGP1_nonlinearity,0.25,500,Bootstrap_t,2000,2000,0.9585,0.00446,0.225017,0.222848,-0.00081,0.056287,0.056988,1.0
DGP1_nonlinearity,0.25,1000,Naive_OLS,2000,2000,0.8945,0.006869,0.131665,0.131541,7e-06,0.040545,0.033548,1.0
DGP1_nonlinearity,0.25,1000,Sandwich_HC0,2000,2000,0.9455,0.005076,0.157049,0.156275,7e-06,0.040545,0.040016,1.0
DGP1_nonlinearity,0.25,1000,Sandwich_HC3,2000,2000,0.946,0.005054,0.157956,0.157145,7e-06,0.040545,0.040247,1.0
DGP1_nonlinearity,0.25,1000,Bayesian,2000,2000,0.8945,0.006869,0.131665,0.131541,7e-06,0.040545,0.033548,1.0
DGP1_nonlinearity,0.25,1000,AMRI,2000,2000,0.954,0.004684,0.165773,0.165002,7e-06,0.040545,0.042238,1.0
DGP1_nonlinearity,0.25,1000,Pairs_Bootstrap,2000,2000,0.943,0.005184,0.156338,0.155571,7e-06,0.040545,0.039997,1.0
DGP1_nonlinearity,0.25,1000,Wild_Bootstrap,2000,2000,0.9415,0.005248,0.155909,0.155228,7e-06,0.040545,0.039987,1.0
DGP1_nonlinearity,0.25,1000,Bootstrap_t,2000,2000,0.9445,0.00512,0.158058,0.156995,7e-06,0.040545,0.040247,1.0
DGP1_nonlinearity,0.25,5000,Naive_OLS,2000,2000,0.891,0.006968,0.058828,0.058823,-0.000319,0.018446,0.015004,1.0
DGP1_nonlinearity,0.25,5000,Sandwich_HC0,2000,2000,0.9445,0.00512,0.070578,0.070463,-0.000319,0.018446,0.018,1.0
DGP1_nonlinearity,0.25,5000,Sandwich_HC3,2000,2000,0.9445,0.00512,0.07066,0.070547,-0.000319,0.018446,0.018021,1.0
DGP1_nonlinearity,0.25,5000,Bayesian,2000,2000,0.891,0.006968,0.058828,0.058823,-0.000319,0.018446,0.015004,1.0
DGP1_nonlinearity,0.25,5000,AMRI,2000,2000,0.9545,0.00466,0.074193,0.074074,-0.000319,0.018446,0.018923,1.0
DGP1_nonlinearity,0.25,5000,Pairs_Bootstrap,2000,2000,0.939,0.005352,0.070208,0.070066,-0.000319,0.018446,0.017983,1.0
DGP1_nonlinearity,0.25,5000,Wild_Bootstrap,2000,2000,0.9425,0.005205,0.070156,0.070053,-0.000319,0.018446,0.017986,1.0
DGP1_nonlinearity,0.25,5000,Bootstrap_t,2000,2000,0.9425,0.005205,0.070363,0.070287,-0.000319,0.018446,0.018021,1.0
DGP1_nonlinearity,0.5,50,Naive_OLS,2000,2000,0.8045,0.008868,0.694654,0.689916,-0.005487,0.267104,0.172745,1.0
DGP1_nonlinearity,0.5,50,Sandwich_HC0,2000,2000,0.901,0.006678,0.918473,0.880043,-0.005487,0.267104,0.228404,1.0
DGP1_nonlinearity,0.5,50,Sandwich_HC3,2000,2000,0.9315,0.005648,1.043854,0.98177,-0.005487,0.267104,0.259583,1.0
DGP1_nonlinearity,0.5,50,Bayesian,2000,2000,0.8045,0.008868,0.694654,0.689916,-0.005487,0.267104,0.172745,1.0
DGP1_nonlinearity,0.5,50,AMRI,2000,2000,0.918,0.006135,1.053,1.022356,-0.005487,0.267104,0.261858,1.0
DGP1_nonlinearity,0.5,50,Pairs_Bootstrap,2000,2000,0.9165,0.006186,0.906244,0.878293,-0.005487,0.267104,0.233569,1.0
DGP1_nonlinearity,0.5,50,Wild_Bootstrap,2000,2000,0.878,0.007318,0.852354,0.830392,-0.005487,0.267104,0.228174,1.0
DGP1_nonlinearity,0.5,50,Bootstrap_t,2000,2000,0.933,0.005591,1.20024,1.069526,-0.005487,0.267104,0.259583,1.0
DGP1_nonlinearity,0.5,100,Naive_OLS,2000,2000,0.809,0.00879,0.484917,0.483743,-0.003946,0.185881,0.122178,1.0
DGP1_nonlinearity,0.5,100,Sandwich_HC0,2000,2000,0.9235,0.005943,0.683939,0.658483,-0.003946,0.185881,0.172323,1.0
DGP1_nonlinearity,0.5,100,Sandwich_HC3,2000,2000,0.938,0.005392,0.73157,0.698416,-0.003946,0.185881,0.184324,1.0
DGP1_nonlinearity,0.5,100,Bayesian,2000,2000,0.809,0.00879,0.484917,0.483743,-0.003946,0.185881,0.122178,1.0
DGP1_nonlinearity,0.5,100,AMRI,2000,2000,0.9415,0.005248,0.758932,0.733337,-0.003946,0.185881,0.191218,1.0
DGP1_nonlinearity,0.5,100,Pairs_Bootstrap,2000,2000,0.927,0.005817,0.67308,0.653323,-0.003946,0.185881,0.173076,1.0
DGP1_nonlinearity,0.5,100,Wild_Bootstrap,2000,2000,0.912,0.006335,0.654617,0.637388,-0.003946,0.185881,0.172167,1.0
DGP1_nonlinearity,0.5,100,Bootstrap_t,2000,2000,0.9355,0.005493,0.791425,0.735,-0.003946,0.185881,0.184324,1.0
DGP1_nonlinearity,0.5,250,Naive_OLS,2000,2000,0.796,0.009011,0.305105,0.305316,-0.004218,0.118688,0.077454,1.0
DGP1_nonlinearity,0.5,250,Sandwich_HC0,2000,2000,0.935,0.005512,0.450938,0.441495,-0.004218,0.118688,0.114476,1.0
DGP1_nonlinearity,0.5,250,Sandwich_HC3,2000,2000,0.9475,0.004987,0.463809,0.453165,-0.004218,0.118688,0.117743,1.0
DGP1_nonlinearity,0.5,250,Bayesian,2000,2000,0.796,0.009011,0.305105,0.305316,-0.004218,0.118688,0.077454,1.0
DGP1_nonlinearity,0.5,250,AMRI,2000,2000,0.958,0.004485,0.486914,0.475823,-0.004218,0.118688,0.123609,1.0
DGP1_nonlinearity,0.5,250,Pairs_Bootstrap,2000,2000,0.933,0.005591,0.445777,0.437911,-0.004218,0.118688,0.114304,1.0
DGP1_nonlinearity,0.5,250,Wild_Bootstrap,2000,2000,0.9265,0.005835,0.440602,0.432093,-0.004218,0.118688,0.114383,1.0
DGP1_nonlinearity,0.5,250,Bootstrap_t,2000,2000,0.9365,0.005453,0.478177,0.462843,-0.004218,0.118688,0.117743,1.0
DGP1_nonlinearity,0.5,500,Naive_OLS,2000,2000,0.8095,0.008781,0.21513,0.214946,-0.001784,0.082766,0.054748,1.0
DGP1_nonlinearity,0.5,500,Sandwich_HC0,2000,2000,0.95,0.004873,0.322772,0.319074,-0.001784,0.082766,0.082141,1.0
DGP1_nonlinearity,0.5,500,Sandwich_HC3,2000,2000,0.954,0.004684,0.32746,0.323374,-0.001784,0.082766,0.083334,1.0
DGP1_nonlinearity,0.5,500,Bayesian,2000,2000,0.8095,0.008781,0.21513,0.214946,-0.001784,0.082766,0.054748,1.0
DGP1_nonlinearity,0.5,500,AMRI,2000,2000,0.965,0.004109,0.343833,0.339543,-0.001784,0.082766,0.087501,1.0
DGP1_nonlinearity,0.5,500,Pairs_Bootstrap,2000,2000,0.949,0.004919,0.319941,0.317001,-0.001784,0.082766,0.081978,1.0
DGP1_nonlinearity,0.5,500,Wild_Bootstrap,2000,2000,0.945,0.005098,0.318144,0.315339,-0.001784,0.082766,0.082034,1.0
DGP1_nonlinearity,0.5,500,Bootstrap_t,2000,2000,0.9485,0.004942,0.331772,0.326336,-0.001784,0.082766,0.083334,1.0
DGP1_nonlinearity,0.5,1000,Naive_OLS,2000,2000,0.7985,0.008969,0.151881,0.151843,-0.00043,0.05867,0.038699,1.0
DGP1_nonlinearity,0.5,1000,Sandwich_HC0,2000,2000,0.948,0.004965,0.229422,0.226853,-0.00043,0.05867,0.058456,1.0
DGP1_nonlinearity,0.5,1000,Sandwich_HC3,2000,2000,0.9525,0.004756,0.231097,0.228493,-0.00043,0.05867,0.058883,1.0
DGP1_nonlinearity,0.5,1000,Bayesian,2000,2000,0.7985,0.008969,0.151881,0.151843,-0.00043,0.05867,0.038699,1.0
DGP1_nonlinearity,0.5,1000,AMRI,2000,2000,0.9615,0.004302,0.242652,0.239917,-0.00043,0.05867,0.061827,1.0
DGP1_nonlinearity,0.5,1000,Pairs_Bootstrap,2000,2000,0.9465,0.005032,0.227948,0.225683,-0.00043,0.05867,0.058359,1.0
DGP1_nonlinearity,0.5,1000,Wild_Bootstrap,2000,2000,0.9435,0.005163,0.227224,0.225228,-0.00043,0.05867,0.058392,1.0
DGP1_nonlinearity,0.5,1000,Bootstrap_t,2000,2000,0.946,0.005054,0.232112,0.229381,-0.00043,0.05867,0.058883,1.0
DGP1_nonlinearity,0.5,5000,Naive_OLS,2000,2000,0.7915,0.009084,0.067902,0.067899,-0.000502,0.026864,0.017318,1.0
DGP1_nonlinearity,0.5,5000,Sandwich_HC0,2000,2000,0.9455,0.005076,0.103477,0.103388,-0.000502,0.026864,0.026391,1.0
DGP1_nonlinearity,0.5,5000,Sandwich_HC3,2000,2000,0.9455,0.005076,0.10363,0.103538,-0.000502,0.026864,0.02643,1.0
DGP1_nonlinearity,0.5,5000,Bayesian,2000,2000,0.7915,0.009084,0.067902,0.067899,-0.000502,0.026864,0.017318,1.0
DGP1_nonlinearity,0.5,5000,AMRI,2000,2000,0.958,0.004485,0.108811,0.108715,-0.000502,0.026864,0.027752,1.0
DGP1_nonlinearity,0.5,5000,Pairs_Bootstrap,2000,2000,0.943,0.005184,0.102953,0.102681,-0.000502,0.026864,0.026367,1.0
