dgp,delta,n,method,B_total,B_valid,coverage,coverage_mc_se,avg_width,median_width,bias,rmse,se_mean,theta_true,avg_weight,pct_full_robust,pct_full_naive
DGP1_nonlinearity,0.5,5000,AMRI,2000,2000,0.958,0.004485,0.108811,0.108715,-0.000502,0.026864,0.027752,1.0,,,
DGP1_nonlinearity,0.5,5000,AMRI_v2,2000,2000,0.9455,0.005076,0.10363,0.103538,-0.000502,0.026864,0.02643,1.0,1.0,1.0,0.0
DGP1_nonlinearity,0.75,50,AMRI,2000,2000,0.932,0.005629,1.463752,1.379081,-0.009264,0.364241,0.364003,1.0,,,
DGP1_nonlinearity,0.75,50,AMRI_v2,2000,2000,0.928,0.00578,1.402451,1.31341,-0.009264,0.364241,0.348758,1.0,0.9248,0.86,0.033
DGP1_nonlinearity,0.75,100,AMRI,2000,2000,0.9485,0.004942,1.045936,0.991305,-0.006942,0.256352,0.263531,1.0,,,
DGP1_nonlinearity,0.75,100,AMRI_v2,2000,2000,0.9375,0.005413,0.996539,0.9441,-0.006942,0.256352,0.251085,1.0,0.9944,0.9865,0.0025
DGP1_nonlinearity,0.75,250,AMRI,2000,2000,0.9555,0.004611,0.666741,0.649546,-0.006511,0.163562,0.16926,1.0,,,
DGP1_nonlinearity,0.75,250,AMRI_v2,2000,2000,0.945,0.005098,0.634992,0.618616,-0.006511,0.163562,0.1612,1.0,1.0,1.0,0.0
DGP1_nonlinearity,0.75,500,AMRI,2000,2000,0.965,0.004109,0.472344,0.465669,-0.002758,0.113988,0.120205,1.0,,,
DGP1_nonlinearity,0.75,500,AMRI_v2,2000,2000,0.953,0.004732,0.449851,0.443494,-0.002758,0.113988,0.114481,1.0,1.0,1.0,0.0
DGP1_nonlinearity,0.75,1000,AMRI,2000,2000,0.9655,0.004081,0.333414,0.329677,-0.000867,0.080297,0.084953,1.0,,,
DGP1_nonlinearity,0.75,1000,AMRI_v2,2000,2000,0.9565,0.004561,0.317537,0.313978,-0.000867,0.080297,0.080908,1.0,1.0,1.0,0.0
DGP1_nonlinearity,0.75,5000,AMRI,2000,2000,0.9605,0.004355,0.149677,0.149425,-0.000685,0.036837,0.038174,1.0,,,
DGP1_nonlinearity,0.75,5000,AMRI_v2,2000,2000,0.9485,0.004942,0.142549,0.142309,-0.000685,0.036837,0.036356,1.0,1.0,1.0,0.0
DGP1_nonlinearity,1.0,50,AMRI,2000,2000,0.9375,0.005413,1.886191,1.750622,-0.013041,0.467176,0.469054,1.0,,,
DGP1_nonlinearity,1.0,50,AMRI_v2,2000,2000,0.9325,0.00561,1.79966,1.667259,-0.013041,0.467176,0.447535,1.0,0.9738,0.9445,0.008
DGP1_nonlinearity,1.0,100,AMRI,2000,2000,0.9495,0.004896,1.342641,1.270348,-0.009938,0.330877,0.338288,1.0,,,
DGP1_nonlinearity,1.0,100,AMRI_v2,2000,2000,0.938,0.005392,1.278785,1.209855,-0.009938,0.330877,0.322198,1.0,0.9989,0.9975,0.0005
DGP1_nonlinearity,1.0,250,AMRI,2000,2000,0.9545,0.00466,0.856961,0.835345,-0.008804,0.211022,0.21755,1.0,,,
DGP1_nonlinearity,1.0,250,AMRI_v2,2000,2000,0.945,0.005098,0.816153,0.795567,-0.008804,0.211022,0.20719,1.0,1.0,1.0,0.0
DGP1_nonlinearity,1.0,500,AMRI,2000,2000,0.965,0.004109,0.608267,0.599145,-0.003732,0.14696,0.154796,1.0,,,
DGP1_nonlinearity,1.0,500,AMRI_v2,2000,2000,0.9515,0.004804,0.579302,0.570614,-0.003732,0.14696,0.147425,1.0,1.0,1.0,0.0
DGP1_nonlinearity,1.0,1000,AMRI,2000,2000,0.966,0.004052,0.429389,0.424606,-0.001305,0.103249,0.109407,1.0,,,
DGP1_nonlinearity,1.0,1000,AMRI_v2,2000,2000,0.9545,0.00466,0.408942,0.404387,-0.001305,0.103249,0.104197,1.0,1.0,1.0,0.0
DGP1_nonlinearity,1.0,5000,AMRI,2000,2000,0.963,0.004221,0.192859,0.192573,-0.000868,0.047393,0.049188,1.0,,,
DGP1_nonlinearity,1.0,5000,AMRI_v2,2000,2000,0.9465,0.005032,0.183675,0.183403,-0.000868,0.047393,0.046845,1.0,1.0,1.0,0.0
DGP2_heavy_tails,0.0,50,AMRI,2000,2000,0.9445,0.00512,0.590002,0.5756,0.002067,0.14648,0.14672,1.0,,,
DGP2_heavy_tails,0.0,50,AMRI_v2,2000,2000,0.9445,0.00512,0.590236,0.58009,0.002067,0.14648,0.146779,1.0,0.1575,0.0505,0.6755
DGP2_heavy_tails,0.0,100,AMRI,2000,2000,0.9545,0.00466,0.405399,0.400701,0.002045,0.100093,0.102143,1.0,,,
DGP2_heavy_tails,0.0,100,AMRI_v2,2000,2000,0.953,0.004732,0.404413,0.401104,0.002045,0.100093,0.101895,1.0,0.1509,0.049,0.695
DGP2_heavy_tails,0.0,250,AMRI,2000,2000,0.9485,0.004942,0.250896,0.249865,0.000367,0.063952,0.063693,1.0,,,
DGP2_heavy_tails,0.0,250,AMRI_v2,2000,2000,0.9475,0.004987,0.250543,0.250112,0.000367,0.063952,0.063603,1.0,0.1473,0.044,0.6855
DGP2_heavy_tails,0.0,500,AMRI,2000,2000,0.954,0.004684,0.176862,0.175925,0.000165,0.044131,0.045009,1.0,,,
DGP2_heavy_tails,0.0,500,AMRI_v2,2000,2000,0.9535,0.004708,0.176373,0.175866,0.000165,0.044131,0.044885,1.0,0.1579,0.0505,0.681
DGP2_heavy_tails,0.0,1000,AMRI,2000,2000,0.9385,0.005372,0.124593,0.124164,0.000445,0.032447,0.031746,1.0,,,
DGP2_heavy_tails,0.0,1000,AMRI_v2,2000,2000,0.939,0.005352,0.12434,0.124173,0.000445,0.032447,0.031681,1.0,0.148,0.043,0.687
DGP2_heavy_tails,0.0,5000,AMRI,2000,2000,0.9385,0.005372,0.055632,0.055525,-0.000136,0.014584,0.014189,1.0,,,
DGP2_heavy_tails,0.0,5000,AMRI_v2,2000,2000,0.938,0.005392,0.055501,0.055489,-0.000136,0.014584,0.014155,1.0,0.155,0.0465,0.6755
DGP2_heavy_tails,0.25,50,AMRI,2000,2000,0.953,0.004732,0.589,0.571797,-0.000866,0.142677,0.146471,1.0,,,
DGP2_heavy_tails,0.25,50,AMRI_v2,2000,2000,0.952,0.00478,0.586438,0.572864,-0.000866,0.142677,0.145834,1.0,0.1992,0.088,0.64
DGP2_heavy_tails,0.25,100,AMRI,2000,2000,0.9595,0.004408,0.407473,0.399384,0.000233,0.099038,0.102665,1.0,,,
DGP2_heavy_tails,0.25,100,AMRI_v2,2000,2000,0.96,0.004382,0.405132,0.39858,0.000233,0.099038,0.102076,1.0,0.2175,0.0955,0.615
DGP2_heavy_tails,0.25,250,AMRI,2000,2000,0.959,0.004434,0.25262,0.249667,0.000566,0.06115,0.064131,1.0,,,
DGP2_heavy_tails,0.25,250,AMRI_v2,2000,2000,0.9575,0.004511,0.251048,0.248738,0.000566,0.06115,0.063731,1.0,0.2146,0.093,0.6115
DGP2_heavy_tails,0.25,500,AMRI,2000,2000,0.9535,0.004708,0.177896,0.175883,-1.6e-05,0.044356,0.045272,1.0,,,
DGP2_heavy_tails,0.25,500,AMRI_v2,2000,2000,0.9525,0.004756,0.176615,0.175476,-1.6e-05,0.044356,0.044946,1.0,0.2404,0.116,0.5835
DGP2_heavy_tails,0.25,1000,AMRI,2000,2000,0.945,0.005098,0.125125,0.124155,-0.00049,0.032543,0.031881,1.0,,,
DGP2_heavy_tails,0.25,1000,AMRI_v2,2000,2000,0.946,0.005054,0.124306,0.124003,-0.00049,0.032543,0.031673,1.0,0.2447,0.1155,0.5765
DGP2_heavy_tails,0.25,5000,AMRI,2000,2000,0.958,0.004485,0.055918,0.055623,-0.000387,0.014114,0.014262,1.0,,,
DGP2_heavy_tails,0.25,5000,AMRI_v2,2000,2000,0.956,0.004586,0.055532,0.055474,-0.000387,0.014114,0.014163,1.0,0.27,0.132,0.5555
DGP2_heavy_tails,0.5,50,AMRI,2000,2000,0.9555,0.004611,0.590023,0.563152,-0.001786,0.147848,0.146725,1.0,,,
DGP2_heavy_tails,0.5,50,AMRI_v2,2000,2000,0.9555,0.004611,0.586888,0.565344,-0.001786,0.147848,0.145946,1.0,0.2158,0.094,0.6135
DGP2_heavy_tails,0.5,100,AMRI,2000,2000,0.9475,0.004987,0.405976,0.39512,9.8e-05,0.102028,0.102288,1.0,,,
DGP2_heavy_tails,0.5,100,AMRI_v2,2000,2000,0.9475,0.004987,0.403335,0.394247,9.8e-05,0.102028,0.101623,1.0,0.2376,0.1095,0.5975
DGP2_heavy_tails,0.5,250,AMRI,2000,2000,0.959,0.004434,0.252428,0.248738,0.001148,0.062618,0.064082,1.0,,,
DGP2_heavy_tails,0.5,250,AMRI_v2,2000,2000,0.957,0.004536,0.25064,0.248413,0.001148,0.062618,0.063628,1.0,0.2509,0.12,0.573
DGP2_heavy_tails,0.5,500,AMRI,2000,2000,0.9485,0.004942,0.177825,0.175853,-0.00058,0.045458,0.045254,1.0,,,
DGP2_heavy_tails,0.5,500,AMRI_v2,2000,2000,0.9435,0.005163,0.176136,0.175419,-0.00058,0.045458,0.044824,1.0,0.2913,0.156,0.5425
