n,overhead_d0,overhead_d0_times_n,overhead_d1,overhead_d1_times_sqrt_n
100,0.007836311388940372,0.7836311388940371,-0.005685828609716431,-0.05685828609716431
500,0.003947141082943347,1.9735705414716735,0.0,0.0
2000,0.0005346862042736731,1.0693724085473462,0.0,0.0
